bank_file_dtl_id,org_type,de_id,pymt_tpse_id,payee_id,de_chain_cd,org_name,org_ftin_num,org_ftin_type,profit_nonprofit,pymt_pref_cd,pymt_routing_num,pymt_acct_num,pymt_acct_type,eff_dt,end_dt,pymt_adrs_cd,pymt_adrs_line_1,pymt_adrs_line_2,pymt_adrs_city,pymt_adrs_state,pymt_adrs_zip_code,contact_first_name,contact_last_name,contact_title,contact_phone_num_1,contact_phone_num_2,contact_email_adrs,part_load_yn,refresh_ts,insert_user_id,insert_ts,update_user_id,update_ts,scenario,payee_int_id,remit_int_id,remit_tpse_id,remit_id
90,D,501,,1617954254,Non-Chain,DE for Claims - 501,1732675415,EIN,P,EFT,052001633,004699523707,CHKING,6/14/2025,,PMT,9926 Roosevelt Ct,,Modesto,AZ,22992,Sebastian,Carter,ASO,8852959195,,de501@DE.com,,43:17.1,-3,43:17.1,,,,,,,
91,D,502,,1652971700,Non-Chain,DE for Claims - 502,3996511174,EIN,P,EFT,052001633,009279547018,CHKING,6/14/2025,,PMT,3898 Trump Vlg,,Madison,AR,29689,Kai,Diaz,ASO,9489007995,,de502@DE.com,,43:17.1,-3,43:17.1,,,,,,,
92,D,503,,1693240776,Non-Chain,DE for Claims - 503,8854104470,EIN,P,EFT,052001633,001769785424,CHKING,6/14/2025,,PMT,5936 Bush Cres,,Kent,TX,63392,Adriel,Martin,ASO,6394417167,,de503@DE.com,,43:17.1,-3,43:17.1,,,,,,,
93,D,504,,1685459442,Non-Chain,DE for Claims - 504,6394624016,EIN,P,EFT,052001633,002524844315,CHKING,6/14/2025,,PMT,8839 Fifth Vly,,San Jose,WA,94297,Savannah,Walker,ASO,2520347986,,de504@DE.com,,43:17.1,-3,43:17.1,,,,,,,
94,D,505,,1624979245,Non-Chain,DE for Claims - 505,1054681189,EIN,P,EFT,052001633,008009289011,CHKING,6/14/2025,,PMT,2471 Jefferson Pl,,Anaheim,NH,11365,Eleanor,Jackson,ASO,5496272899,,de505@DE.com,,43:17.1,-3,43:17.1,,,,,,,
95,D,506,,1696918857,Non-Chain,DE for Claims - 506,1121737759,EIN,P,EFT,052001633,003859936962,CHKING,6/14/2025,,PMT,10412 Ford Riv,,Milwaukee,CT,52405,Ethan,Brooks,ASO,1787439691,,de506@DE.com,,43:17.1,-3,43:17.1,,,,,,,
96,D,507,,1638286132,Non-Chain,DE for Claims - 507,7487986356,EIN,P,EFT,052001633,001050469589,CHKING,6/14/2025,,PMT,9825 Carter Row,,Oakland,PA,41422,Rowan,Wright,ASO,2370727832,,de507@DE.com,,43:17.1,-3,43:17.1,,,,,,,
97,D,508,,1649510181,Non-Chain,DE for Claims - 508,9487559665,EIN,P,EFT,052001633,009846667594,CHKING,6/14/2025,,PMT,5713 Lincoln Shrs,,Cedar Rapids,MS,52934,Parker,Hayes,ASO,9442867884,,de508@DE.com,,43:17.1,-3,43:17.1,,,,,,,
98,D,509,,1643913431,Non-Chain,DE for Claims - 509,1917113633,EIN,P,EFT,052001633,007514721516,CHKING,6/14/2025,,PMT,3960 Ford Riv,,Rockford,NV,30547,Cora,Butler,ASO,8337087104,,de509@DE.com,,43:17.1,-3,43:17.1,,,,,,,
99,D,510,,1600719011,Non-Chain,DE for Claims - 510,7178626686,EIN,P,EFT,052001633,010134399441,CHKING,6/14/2025,,PMT,5893 Buchanan Est,,Arlington,LA,41466,Autumn,Patterson,ASO,1179458067,,de510@DE.com,,43:17.1,-3,43:17.1,,,,,,,
100,D,511,,1621551690,Non-Chain,DE for Claims - 511,4439103690,EIN,P,EFT,052001633,007388324246,CHKING,6/14/2025,,PMT,7394 Trump Blvd,,Corpus Christi,WY,62537,Avery,Morris,ASO,5281380104,,de511@DE.com,,43:17.1,-3,43:17.1,,,,,,,
