"recordoperation","organizationcode","payeeid","organizationidentifier","organizationname","organizationlegalname","organizationtin","organizationtintype","profitnonprofit","organizationnpi","paymentmode","routingtransitnumber","accountnumber","accounttype","effectivestartdate","effectiveenddate","addresscode","addressline1","addressline2","cityname","state","postalcode","contactcode","contactfirstname","contactlastname","contacttitle","contactphone","contactfax","contactotherphone","contactemail","refresh_ts"
A,D,"526","2450127740",Dispenser 125,Dispenser 125,"657411873",EIN,P,"2450127740",EFT,"011688853","457711173160",Checking,2025-04-28,,COR,"2356 Mountain Rd","",Pasadena,CA,"90393","",Alice,Stone,ASO,"4330434094","","",de125@DE.com,2025-04-28 22:59:20.502
A,P,"526","526",Payment Center 526,Payment Center 526,"245879339",EIN,P,"",EFT,"055633134","820909396169",Checking,2025-04-28,,PMT,"515 Beach Rd","",San Francisco,CA,"90123","",Richard,Pebble,ASO,"3959141522","","",pc526@TPSE.com,2025-04-28 22:59:20.502
A,D,"991","5563377998",Dispenser 265,Dispenser 265,"809137743",EIN,P,"5563377998",EFT,"003538161","287554832016",Checking,2025-04-28,,COR,"4324 Short Blvd","",Baltimore,MD,"21201","",Spring,Solly,ASO,"7091689788","","",de265@DE.com,2025-04-28 22:59:20.502
A,P,"991","991",Payment Center 991,Payment Center 991,"950060173",EIN,P,"",CHK,"","","",2025-04-28,,PMT,"1176 Short Blvd","",Baltimore,MD,"21201","",June,Springs,ASO,"9586045709","","",pc259@TPSE.com,2025-04-28 22:59:20.502
A,D,CC14,"1194834655",CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"1194834655",EFT,"052001633","123456",SAVING,2025-05-05,,COR,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,D,CC14,"1760405229",CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"1760405229",EFT,"052001633","123456",SAVING,2025-05-05,,COR,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,D,CC14,"1023127586",CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"1023127586",EFT,"052001633","123456",SAVING,2025-05-05,,COR,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,D,CC14,CC14,CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"",EFT,"052001633","123456",SAVING,2025-05-05,,PMT,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,D,CC14,"1932115235",CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"1932115235",EFT,"052001633","123456",SAVING,2025-05-05,,COR,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,D,CC14,"1679589972",CVS Pharmacy,CVS Pharmacy,"123456767",SSN,P,"1679589972",EFT,"052001633","123456",SAVING,2025-05-05,,COR,"710 12th St S, Apt 555, Arlington, VA 22203","",Edison,,"22206","",Jane,Bond,Vice President,"352-352-3534","","",secondarytest@gmail.com,2025-05-06 23:54:54.016
A,M,M001,M001,Bristol Myers Squibb,Bristol Myers Squibb,"000000000",EIN,P,"",EFT,"041215032","00123456789012345",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M002,M002,Immunex Corporation,Immunex Corporation,"000000000",EIN,P,"",EFT,"048372969","34349830938393",Checking,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M003,M003,Novartis Pharms Corp,Novartis Pharms Corp,"000000000",EIN,P,"",EFT,"091000019","34534534512",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M004,M004,AstraZeneca AB,AstraZeneca AB,"000000000",EIN,P,"",EFT,"041215032","34534534512",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M005,M005,Pharmacyclics LLC,Pharmacyclics LLC,"000000000",EIN,P,"",EFT,"021000021","001232342342345",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M006,M006,Merck Sharp Dohme,Merck Sharp Dohme,"000000000",EIN,P,"",EFT,"011401533","34534534512",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M008,M008,Novo Nordisk Inc,Novo Nordisk Inc,"000000000",EIN,P,"",EFT,"041215032","123413254365346",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
A,M,M009,M009,"Janssen Biotech, Inc.","Janssen Biotech, Inc.","000000000",EIN,P,"",EFT,"044000024","00038372937",Savings,2025-04-28,,COR,"","","","","","",John,Sparks,"","","","","",2025-04-28 23:35:38.711
A,M,M010,M010,Janssen Pharms,Janssen Pharms,"000000000",EIN,P,"",EFT,"048372969","34534534512",Savings,2025-04-28,,COR,"","","","","","",Joe,Doe,"","","","","",2025-04-28 23:35:38.711
